ID,Station Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
1594046383808271024,Troy St & Jackson Blvd,9,9,In Service,41.877505,-87.70485,"(41.877505, -87.70485)"
641,Central Park Ave & Bloomingdale Ave,11,11,In Service,41.914166,-87.716755,"(41.914166, -87.716755)"
1683527931525155814,Public Rack - Cornell Ave & 87th Pl,1,1,In Service,41.73688127,-87.58314552,"(41.73688127, -87.58314552)"
367,Racine Ave & 35th St,15,15,In Service,41.830688565,-87.656210661,"(41.83068856472101, -87.65621066093445)"
1673852313397164648,Public Rack - Francisco Ave & Touhy Ave,2,2,In Service,42.011865,-87.701317,"(42.011865, -87.701317)"
648,Carpenter St & 63rd St,7,7,In Service,41.77987,-87.650919,"(41.77987, -87.650919)"
427,Cottage Grove Ave & 63rd St,15,15,In Service,41.780530941,-87.605970204,"(41.78053094070882, -87.6059702038765)"
758,Lincoln Ave & Roscoe St*,16,16,In Service,41.943350247,-87.670667768,"(41.9433502470174, -87.67066776752472)"
644,Western Ave & Fillmore St,11,11,In Service,41.868563,-87.686234,"(41.868563, -87.686234)"
503,St. Louis Ave & Fullerton Ave,15,15,In Service,41.924815597,-87.714495063,"(41.92481559681187, -87.71449506282805)"
1673852313397164652,Public Rack - California Ave & Touhy Ave - midblock,1,1,In Service,42.012207,-87.700474,"(42.012207, -87.700474)"
643,Smith Park,15,15,In Service,41.892048,-87.689397,"(41.892048, -87.689397)"
640,Bernard St & Elston Ave,11,11,In Service,41.949923,-87.713949,"(41.949923, -87.713949)"
637,Wood St & Chicago Ave,15,15,In Service,41.895634,-87.672069,"(41.895634, -87.672069)"
761,Bissell St & Armitage Ave*,16,16,In Service,41.918295563,-87.652183324,"(41.9182955629354, -87.65218332409859)"
718,Ewing Ave & Burnham Greenway,11,11,In Service,41.712748761,-87.534813881,"(41.71274876109496, -87.53481388092041)"
690,State St & 95th St,15,15,In Service,41.7218499,-87.6228544,"(41.7218499, -87.6228544)"
566,Damen Ave & 74th St,11,11,In Service,41.759274039,-87.673634291,"(41.759274039331224, -87.67363429069519)"
1673852317692131950,Public Rack - California Ave & Touhy Ave - SW,1,1,In Service,42.011867,-87.700407,"(42.011867, -87.700407)"
650,Eggleston Ave & 69th St,11,11,In Service,41.768898,-87.635876,"(41.768898, -87.635876)"
1677249767994562566,Public Rack - Sawyer Ave & Bryn Mawr Ave - SW,1,1,In Service,41.982879,-87.710534,"(41.982879, -87.710534)"
674,Michigan Ave & 71st St,7,7,In Service,41.765286,-87.621748,"(41.765286, -87.621748)"
1436495096608724634,N Clark St & W Elm St,4,4,In Service,41.902901,-87.631282,"(41.902901, -87.631282)"
664,Leavitt St & Belmont Ave,15,15,In Service,41.939354,-87.683282,"(41.939354, -87.683282)"
656,Damen Ave & Walnut (Lake) St,15,15,In Service,41.885951,-87.677009,"(41.885951, -87.677009)"
1563698722681128992,Sayre & Diversey,9,9,In Service,41.9310084,-87.8010646,"(41.9310084, -87.8010646)"
658,Leavitt St & Division St,15,15,In Service,41.902997,-87.683825,"(41.902997, -87.683825)"
1436495105198659242,W Armitage Ave & N Sheffield Ave,8,8,In Service,41.917805,-87.653449,"(41.917805, -87.653449)"
649,Stewart Ave & 63rd St,11,11,In Service,41.779835,-87.634774,"(41.779835, -87.634774)"
632,Clark St & Newport St,15,15,In Service,41.94454,-87.654678,"(41.94454, -87.654678)"
1436495100903691938,W Oakdale Ave & N Broadway,6,6,In Service,41.935581,-87.644042,"(41.935581, -87.644042)"
654,Racine Ave & Washington Blvd,11,11,In Service,41.883073,-87.656952,"(41.883073, -87.656952)"
446,Western & 28th - Velasquez Institute Vaccination Site,11,11,In Service,41.841517708,-87.685131441,"(41.84151770807, -87.6851314409)"
1448642162257565290,S Aberdeen St & W 106th St,3,3,In Service,41.701217,-87.649345,"(41.701217, -87.649345)"
1563698709796227086,Kostner Ave & Wrightwood Ave,9,9,In Service,41.9279399,-87.7359921,"(41.9279399, -87.7359921)"
192,Canal St & Adams St,47,47,In Service,41.879255,-87.639904,"(41.879255, -87.639904)"
759,Wilton Ave & Diversey Pkwy*,32,32,In Service,41.932418,-87.652705,"(41.932418, -87.652705)"
763,Morgan St & Lake St*,20,20,In Service,41.885491706,-87.652289271,"(41.88549170626906, -87.65228927135468)"
1436495122378528446,N Paulina St & Lincoln Ave,6,6,In Service,41.943838,-87.671469,"(41.943838, -87.671469)"
1673852330577033842,Public Rack - Rockwell Ave & Touhy Ave,2,2,In Service,42.012344,-87.695383,"(42.012344, -87.695383)"
1436495118083561146,N Sheffield Ave & W Wellington Ave,6,6,In Service,41.9362263,-87.6537676,"(41.9362263, -87.6537676)"
1674190140762761456,Public Rack - 2302 S Pulaski Rd,1,1,In Service,41.849437,-87.724879,"(41.849437, -87.724879)"
1674190153647663366,Public Rack - Al Raby School,3,3,In Service,41.886167,-87.714711,"(41.886167, -87.714711)"
1571105055115583500,Roscoe & Harlem,9,9,In Service,41.9416062,-87.8072964,"(41.9416062, -87.8072964)"
1674190183712434506,Public Rack - Avers Ave & Irving Park Rd,2,2,In Service,41.953789,-87.724161,"(41.953789, -87.724161)"
1571105042230683636,Oketo Ave & Addison St,9,9,In Service,41.9449659,-87.8118989,"(41.9449659, -87.8118989)"
1563698709796227088,Kilbourn & Belden,9,9,In Service,41.922352,-87.739024,"(41.922352, -87.739024)"
1575949510978564828,North Ave & New England Ave,9,9,In Service,41.9092204,-87.7971406,"(41.9092204, -87.7971406)"
1674190183712434508,Public Rack - Avers Ave & Ogden Ave,2,2,In Service,41.852642,-87.72103,"(41.852642, -87.72103)"
1674190188007401806,Public Rack - Avondale Ave & Addison St,4,4,In Service,41.94655,-87.719827,"(41.94655, -87.719827)"
1674190209482238320,Public Rack - California Ave & Cortez St,2,2,In Service,41.900105,-87.696817,"(41.900105, -87.696817)"
1674190209482238322,Public Rack - California Ave & Devon Ave - NE,1,1,In Service,41.99826,-87.699481,"(41.99826, -87.699481)"
1674190213777205620,Public Rack - California Ave & Devon Ave - NW,2,2,In Service,41.998481,-87.69985,"(41.998481, -87.69985)"
1674190213777205624,Public Rack - California Ave & Ogden Ave,1,1,In Service,41.8608706,-87.695681,"(41.8608706, -87.695681)"
1674190230957074838,Public Rack - Central Park Ave & Fillmore St,1,1,In Service,41.8680617,-87.7153897,"(41.8680617, -87.7153897)"
1674190230957074840,Public Rack - Central Park Ave & Ogden Ave,3,3,In Service,41.8543385,-87.7151584,"(41.8543385, -87.7151584)"
1674190235252042148,Public Rack - Chase Ave & Touhy Ave - NE,4,4,In Service,42.014539,-87.6901359,"(42.014539, -87.6901359)"
1674190235252042152,Public Rack - Chase Ave & Touhy Ave - NW,1,1,In Service,42.014271,-87.690408,"(42.014271, -87.690408)"
1674190239547009450,Public Rack - Chopin Park,1,1,In Service,41.942675,-87.761899,"(41.942675, -87.761899)"
1674190239547009458,Public Rack - Christiana Ave & Belmont Ave,6,6,In Service,41.93917,-87.71169,"(41.93917, -87.71169)"
1674190243841976756,Public Rack - Cicero Ave & Altgeld St,2,2,In Service,41.925734,-87.746414,"(41.925734, -87.746414)"
1674190243841976758,Public Rack - Cicero Ave & Cortland St - midblock,1,1,In Service,41.91582,-87.746074,"(41.91582, -87.746074)"
1674190248136944056,Public Rack - Cicero Ave & Le Moyne St - midblock,1,1,In Service,41.906919,-87.74623,"(41.906919, -87.74623)"
1674190252431911356,Public Rack - Cicero Ave & North Ave,1,1,In Service,41.909329,-87.745838,"(41.909329, -87.745838)"
1674190256726878654,Public Rack - Cicero Ave & Roscoe St,1,1,In Service,41.9424235,-87.74713,"(41.9424235, -87.74713)"
1674190256726878658,Public Rack - Cicero Ave & Wellington Ave,2,2,In Service,41.935779,-87.746581,"(41.935779, -87.746581)"
1674190256726878660,Public Rack - Cicero Ave & Wrightwood Ave,4,4,In Service,41.927944,-87.7466394,"(41.927944, -87.7466394)"
1674190286791649784,Public Rack - Eli Whitney Public School,1,1,In Service,41.840249,-87.725472,"(41.840249, -87.725472)"
1674190308266486306,Public Rack - Franklin Park,2,2,In Service,41.861493,-87.733404,"(41.861493, -87.733404)"
1674190325446355528,Public Rack - Hamlin Ave & Chicago Ave,1,1,In Service,41.895201,-87.721541,"(41.895201, -87.721541)"
1674190325446355532,Public Rack - Hamlin Ave & Fullerton Ave,2,2,In Service,41.924319,-87.721446,"(41.924319, -87.721446)"
1674190329741322832,Public Rack - Hamlin Ave & Grand Ave,3,3,In Service,41.903738,-87.720287,"(41.903738, -87.720287)"
1674190329741322834,Public Rack - Hamlin Ave & Montrose Ave,3,3,In Service,41.961216,-87.722416,"(41.961216, -87.722416)"
1674190364101061260,Public Rack - Karlov Ave & 26th St,1,1,In Service,41.844287,-87.727078,"(41.844287, -87.727078)"
1674190364101061262,Public Rack - Karlov Ave & Kamerling Ave,2,2,In Service,41.905621,-87.728636,"(41.905621, -87.728636)"
1674190368396028562,Public Rack - Kedvale Ave & Avondale Ave,2,2,In Service,41.952874,-87.731229,"(41.952874, -87.731229)"
1674190381280930480,Public Rack - Kedzie Ave & Argyle St,2,2,In Service,41.972097,-87.708572,"(41.972097, -87.708572)"
1674190385575897778,Public Rack - Kedzie Ave & Arthington St,1,1,In Service,41.8700949,-87.7062429,"(41.8700949, -87.7062429)"
1674190402755766968,Public Rack - Keeler Ave & 26th St,1,1,In Service,41.844058,-87.729873,"(41.844058, -87.729873)"
